src_ip,dst_ip,src_port,dst_port,protocol,payload_hex,label
173.194.12.135,192.168.50.11,443,36986,6,cb66e84a5ed3e4ad3475c86269ac3c1cdb2c5fee0518ff79ef9ebfef60aba5522ce97d5a19a4a49c5117e0e6a3ca002340d49294b9bb3cdaca75d01aafecad665362b78aae29bd370535b2f8eccca3268bd0125465a79e66cf6f144da1874e2b06fed885b7b0300e08e31998c8177c8fe366d305091755c384463d72dfc25113,0
192.168.50.11,80.77.84.96,39172,443,6,,0
173.194.12.135,192.168.50.11,443,36986,6,df42d02f42432254bbabaedfe8897681d29881b1f35527a32752b3190190d4fd4f9cbf524b5c77ced2dba88e390388e71ad3fbe6c7ca93d1759b092e4ecad079b68e65403c017f8eab5151f7bbf699c7ed7beec42b98b1955b9c6619859a2260797220c0669f6b1f19c1d0d64c8cdf8f2dea1b4dc3e5661f09d7f73c7dae4070,0
192.168.43.108,158.41.82.4,5661,445,6,7c30307c,1
192.168.50.11,172.64.41.4,60274,443,6,170303009aef6adf103c05418a02b5d865e5ce14029c4d58686a6e4ed869434d1ab75add66945ad2689750bf640581dc64d8e37e00cbbb73ea670a1e50a306da4dae36ba19148eeb65432c56dcfaacab25eca2ef8ebaff20aedd26ac727a1ba3e41cd699eea17bf705b105b3b0f29e782f6800130a8f31152dc8fb5dcf7cd3c1,0
192.168.50.11,23.105.12.158,58858,443,6,,0
192.168.50.11,172.217.14.110,34982,443,6,17030300224f7458c7916d8b22d28f81c30462cc7a46fa6978e0c5a84c7cf14dc1de43a75b5883,0
142.250.72.162,192.168.50.11,443,38688,6,17030300c52770e96d9cc1aff828892e47bc37abed858c13c06f420426eea098e7031c372d2fe550da1069e5a1b7d224b8bec1fb2ef54fca53ac76810226aa2345058134e37caea2beed27328d446c3cd60cc910254247d50e96666bfcf82fcb79ac59d3bf3d423c6f80d9df369f7aeb11b5d004b0fad020eb9c5af1fcadc778,0
192.168.106.118,88.251.230.106,7218,8350,1,303132333435363738396162636465666768696a6b6c6d6e6f70,1
192.168.50.11,172.64.41.4,60274,443,6,170303009aab51f4d86bc00abe72652a32ad67a0f34aba67a42523327ed5b3dcd9afde796db8e3e25491fce8baac5670f2b0f22ad1425ec7ad2a0aa4c71b9156ff417718a43dd1924bb1538d764ed6eabac9b698d9f8291ebd8bdab4f6c5061d1b44f43f4885541f5ca83c5714b52db3d3bdf187eac8f3ec71e3e67dcda7465b,0
192.168.50.11,104.254.151.68,51066,443,6,170303006f00000000000000019364d71e584b792c45866010786e8aadaec09d3b24648e0445b3580ec3b04eca66faad9768b8823767f5a36756622244ff3ade9d30b01846794f2861535256c1d968bf6483871cea8a07f37567de8c8f577c03d80c3e1bd4b7c6f88121a23ffc1e07e863168908,0
192.168.50.11,80.77.84.96,39176,443,6,,0
104.18.34.222,192.168.50.11,443,38182,6,,0
151.101.2.114,192.168.50.11,443,49204,6,ff357bd2816ab43d92f63c0bf670912cad1df2c57a0c3de1d686eea2ddfb9cba332ab8b4f588210731026141b80ebb67d3890bd6f33aa19ff179e388b206ca6d7e70a3a3e101fa64e49dd052b3cdd7b89f9c9ed82a1f4f168a984f1afb42ad3b3e31ecdbc327c98812a8fff4b1f39f7f45218b0b30234654478f482d70c738b8,0
192.168.50.11,23.51.193.219,42584,443,6,170303005775f93f878ed711e1a3b79c4cd23a736d00f7801d35c7a2d2dafe73879ed2eda8506fb8f7cf6c0c8395a275c21e3d84c8f551907aff8a642425d915229649178aa60d992cdd5da42bfaef7000a9322091e4a7f48148636e,0
192.168.150.157,58.192.152.44,40463,6004,6,7c46462046462046462046462046462046467c,1
192.168.50.11,172.217.14.110,34982,443,6,,0
3.163.125.35,192.168.50.11,443,43810,17,e5000000010354e83b1430080f01af3fd9167c7121997c22cf1b423426424490f7de78659174af72c7bed35234fecb0fa447cd956af0c3106f291b98b896607c17df3a37d0a54d5f941c1bda955774cf22d2271045f5291f950d0b35ee9cd30d836f0db3a3eefcea203368fda9accbd46b983776400a4c8d72a66147d56b2ef5,0
185.184.8.90,192.168.50.11,443,34734,6,160303007a0200007603039125cc05e8ee541d1a1e88252002c7d0a3a63bb4ff45699b71de928b601f006120c32ae14d8c1e7b28b9d8325519553b18888ae598f2a67e514b318f883cc77b23130200002e002b0002030400330024001d00203e23bae556855331d03d085a7cf5c0e5af175a3cc224fcd687c20fbd37d9883f14,0
192.168.50.11,172.64.41.4,44258,443,6,17030300332860ccac1acef1a1b72ef3743e87c21060e1c7919f7e6d7fba1bf2b19643ff1dd1cc4bab6f919f491173ea94a7e55340ea3893,0
192.168.50.11,23.216.55.47,57756,80,6,,0
23.35.26.249,192.168.50.11,80,51510,6,485454502f312e3120323030204f4b0d0a5365727665723a206e67696e780d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6f6373702d726573706f6e73650d0a436f6e74656e742d4c656e6774683a203334360d0a455461673a2022354336313641333939313743363030463735443942434241423037,0
23.105.12.142,192.168.50.11,443,36748,6,170303015429ea41838db211a5ea6da7a93cf97ad9d2a39fe32631e8fe0f8eb56d8b52f318581c63af0595f377092d48805a6ab99f440ec7a64e475b98438e22552eb2e42d9b40beba0f68f170e64aa85ccd9625b76a8acde1719d06b51fada3a8a1b83473691c3f8a07a343a23a96e3dc0ab9070439ecc7443f6d4ca761b564,0
172.217.14.110,192.168.50.11,443,34982,6,17030303f49b4fcd0e159a4b5e7583fbf1e656dc0692269d0bc11e5624391b207bfb9130026ca57353debedfc6140265b533d62a0f07819046a6d6995c7a70795e339a1f515d4b0cc820876e2ed0cf0ec9d59a9526deaf4efec2879032b2f9ed78a601cac0eee44b4afeb414d62c16571f5ebae8038797ca088b3a83ce674136,0
151.101.130.217,192.168.50.11,443,39470,6,,0
173.194.12.135,192.168.50.11,443,36986,6,55e68f35e7993e4c095d6cb6190859be27ca84245d45f6e6020bbca44419ef526ddf25bb38741429cc80e272ef625e9e02f7e86049e3320e09b3e087e41ae17429ae8542a58d7898a88edf46df7162d3edd9eb484efd7d195a4b53b118acd81734ff832bef1dc2171bc790248032bd50bb56fb0d00bfae7f0ffd0351daf99eb4,0
172.66.41.9,192.168.50.11,443,51502,6,,0
192.168.50.11,159.127.41.169,51992,443,6,,0
151.101.2.114,192.168.50.11,443,49204,6,18a1deb247033fe060773b35210583e1b4e8b54443253fa750b86c835e5b3741b563541494876fa285619436a408d61023841d6a0add8da6b94a4d3a09ee7fac3ca8bc198ae7cc0c1850395fb62dbe45f550a9bc7685f3f0d063f9925a1aa988cc968caff72d951abb781b8b14fa56b3d78838020338d754e712ab1fe0fe8bf2,0
192.168.50.11,54.191.107.236,54182,443,6,,0
192.168.50.11,151.101.2.114,49164,443,6,160301076f0100076b03036896c521bffabac12d9f34d0a23a636f113987580471076912de2dc8a9bdcb7c20c2581d3efdf7b1729f3e7242e41e81f0013ac1191d8e95fe10ee1be38c4914900022130113031302c02bc02fcca9cca8c02cc030c00ac009c013c014009c009d002f00350100070000000020001e00001b736c69,0
192.168.100.51,179.231.89.51,31995,443,6,504f5354,1
199.232.194.114,192.168.50.11,443,40190,6,ba4ef4baa70df26288aa519b89bfa63e1fb14edf42dd02382d9a09628c68aa12dba8b7ce91f93375a2fe9e3476cc45352d204ddf2279b4dc85a46f2fa30e7b4ccfa89230022194e61979a0524e54a00839781159ed42ed0c0a5bc4ea5efa5e18d402edbc3572571ce25bab57067b6a17d254b88119923db0a7fadc916cdc3e7f,0
3.169.252.21,192.168.50.11,443,59232,6,1703034011a0e171579a32f4e34567509f7dfe5edaf997b92814cdc4280bd1d153f25c381138a9154712ca9d320df3c8569cd6792d474ebb121b42ba535ebd9c3eb72f529152089d65be0b1b64361edd2e3a3899b63ec4b3d8182c22878c4245429cd5790e75913cc75ba28e0dfea4e2f34792a598c0bd5d85de896171999643,0
192.168.50.11,69.173.156.148,49918,443,6,,0
104.18.38.233,192.168.50.11,80,42738,6,,0
192.168.50.11,141.95.98.65,36442,443,6,,0
142.250.68.35,192.168.50.11,80,55888,6,485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6f6373702d726573706f6e73650d0a446174653a205765642c203134204d617920323032352030343a30363a303820474d540d0a43616368652d436f6e74726f6c3a207075626c69632c206d61782d6167653d3134,0
173.194.12.135,192.168.50.11,443,54889,17,5536addfe3b1180d6eb3386716ba2927da294f27c00a5a258eb3a40026032710a209ad5a877ea637c9b5414aff798dccda7e9638f594cf99c6f33595cdeba9ddf1abc848722cfd00fa17f36d9fe40b818e395ca09c3f5765982bfb69c80c374f09c294698e946f8084e5039c88a3a35ad1926f588005b4474cfd2f183884b1ed,0
192.168.50.11,34.194.175.122,44872,443,6,,0
192.168.50.11,172.64.41.4,44258,443,6,1703030033be320a29fe0d54241570d2970f6ff62f19f333d956d43dd93dc8416cbcc4b5517d55c23130d6ff8e129a30aa5b30b260fac76b,0
67.202.105.22,192.168.50.11,443,57916,6,1703030013c725058ae696fcaf0bb9bbf643aa4aa69e0964,0
98.82.158.241,192.168.50.11,443,58564,6,160303007a0200007603035e7e56c8bbb1453a3770b85eb46d1a0b3b392f07a6c0dc0de42d7eb0f4734e08209cad67af61624e7085e45c29b53fbb300e245fb2292a2c6546cb95ec57121ca4130100002e002b0002030400330024001d0020d7e47181087a8a121f4a45b121c4fdfdd14f480557048239704775b5907c855314,0
142.250.176.1,192.168.50.11,443,33100,6,8cbc5601131564f231d6319d15ac90743071b924c8fc9060b64a8bd3e9101c9f8b4262662765bb875f95f736bd83827e2cf4358d9d4e8eeb89482788ad2937f7683e00ef80bfaeeb808d0d5b9181172080482fc3090b9aa15b979b6d1a9cfa5142e6af7b60e249e4a9e0ba004b352d2630e263ee8b927e1dbec7c6473d1359fe,0
192.168.50.11,108.138.246.99,40546,443,6,,0
192.168.50.11,172.64.41.4,44258,443,6,17030300337318eea9b9603448877d175ab1007e780739494d4c1b0180f4a0a4a5a3caff01fa95ec4a76c5d5df0b6901052db94f94ea7ed1,0
192.168.50.11,173.194.12.135,36986,443,6,,0
142.250.72.168,192.168.50.11,443,56699,17,4dbd495c6d9d9c0bf32f73132ac5dcdc68f24953c96be958829a6454251e976978c579b23f4ebc03029a5a6769256485d3418ae0792bed289c72564a6f0159f90135e7965bcf1c28d4f8792475b70f62fbe8a902524af94e167d065e1be053ce317b6ee0879cf3ffd40d2fb36bd099d0522c1ad1271695dcc42d20ea73a9b56f,0
192.168.50.11,18.65.25.87,33560,443,6,,0
172.64.41.4,192.168.50.11,443,44258,6,170303003394625679247c528922a13e981e6d27fb675a0d340a28651b5d69477f975147b49aed739394e66c673111d96a68e179f90c019a,0
34.194.175.122,192.168.50.11,443,44872,6,,0
192.168.50.11,80.77.84.96,50832,443,6,,0
199.232.194.114,192.168.50.11,443,39731,17,58b19b382644a649028ce1162ac5d316e81edaecde6e9fa3fa7bf9adb92b859755ab9dcf05d73aa0baab830064f9747c83870e380c36c4bef2af29a453ddb653a85a805a739961f7673b894f27c451091a48f0909c72cb88dce73e9b92fcaf7c03f1a743284e22c2e983d29ddc3c3f2aea1218089b8e1eaec7d9176b0fe5eb64,0
192.168.50.11,173.194.12.135,48494,443,6,,0
216.137.39.97,192.168.50.11,443,43982,6,,0
142.250.68.35,192.168.50.11,80,46846,6,485454502f312e3120323030204f4b0d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6f6373702d726573706f6e73650d0a446174653a205765642c203134204d617920323032352030343a30363a303720474d540d0a43616368652d436f6e74726f6c3a207075626c69632c206d61782d6167653d3134,0
34.36.54.80,192.168.50.11,443,49584,6,8681b055d07903fd504e0fe49715868e64d63748a5c277029052ac06170303008514e2bf1298e2fafa4866efaf7e9326763693c2e06ac90b8842947448c461bbf959675a44992cc2f57ca2a3b50e43561839d758922fa807647f2f1a86297ba2752874fde49731de11a7c39d06873ea3b8b1830f0be0e014669fa4ab84f18f2d,0
173.194.12.135,192.168.50.11,443,48508,6,,0
74.214.196.131,192.168.50.11,443,41518,6,f02c4823f6b010d3a320a6f509145232cdd6365944e358e215adcc141299e1be6294b666a1e9083421edcfb7b02010966c2c06c0b0bcdde4db5e1220572502f30051901d3f27cfa97b4d3ef5715cc6194440fb44bd978b6473eebbb7897e952386f1f9cfdc616124eb84d85f12ecec166aaa52316f6b072717ecb75055ab6f0b,0
192.168.50.11,107.178.254.65,40986,443,17,ee0000000108e41d735c1c2805a003d833cb4016cba0652a70dc2857292e5f67355eb81b0ff3cb035ae2,0
192.168.50.11,3.211.135.140,55158,443,6,,0
172.64.41.4,192.168.50.11,443,44258,6,17030301ee2dc6395eac5b922c3402ca2b9e57ddc3c02346296fa3f3a6acde4a14a506762564617ae71ca558543996f0803315908ccf4bf24fe5204c8f00fc6501cf0d80e5b4d284c3fbeeec41feb4f35ff410232433709938495dbd1090054d2a35edc97f077e1634ec81b8ef657a3f0cdefb76c146b452ba47b31b9f3e2f8f,0
192.168.50.11,142.250.68.33,39190,443,6,170303001a81d693df13e065e6be5b6dfa829c0728da60c70045be96c12c99,0
192.168.50.11,104.254.150.241,41306,443,6,170303065e000000000000000a045891dbb8bb25bf0d5412f9b6942077c1d94a8ef60300f4769f433d1f5a91c9cc33eba266375d2693853480e2c9c916119bc8b50bd29775ba20a0904fb02aa092f9619f2b305a3c356cf5142c432da8e36412c1a249a524369f06633aed5d1f7f450c55780ad8203d20c1702b34a9b34369d2,0
192.168.50.11,13.226.216.26,52378,443,6,,0
192.168.50.1,192.168.50.11,53,36053,17,ff6781800001000000010001077761322d62696406616473727672036f726700001c0001c014000600010000001e003504646e733103703038056e736f6e65036e6574000a686f73746d6173746572c03962ace42700002a3000000e1000278d00000002580000290200000000000000,0
192.168.50.11,172.64.41.4,55436,443,6,,0
172.64.41.4,192.168.50.11,443,44258,6,1703030033a908f9a6d03573fe77d7dd59f172e76060d26b063cc7f470f0e22756477ac44d213f94128fcaca3274f408bea72575089850f8,0
192.168.50.11,199.232.194.114,39731,443,17,72a1d25e0711139a031bb975b68df079edf3c586f04e453e8435ea949409dbe0e2ce04a652655071141bebcd4c7a2aca5628e0127b66942bde45963d8219e761d3c432b4aa11ef34ff5840a43341aa094b292cd18e9bb3b2f48d8f284b18e53faf15a3fc9b22d23a1dc4333d21d4ef02971a835c085654251e9b703948947f83,0
3.169.231.31,192.168.50.11,443,33734,6,734d201b1cd952a13adc2026f805cbfa2f221876781416333bd42feb72a1265577af7d672aea7f544d19a3a34970116b0e56ea8a23a9a304f53be6c86a09c3fb5e9e247515b25c4a35217add93f02431174d1dbdf7edb777e8ffd73b93bd20a8d4da318fd1db99ff642b983fd2d892f24d032774e5223fe176cf3209e92e504f,0
192.168.50.11,104.22.4.65,50368,443,6,170303013d24a6cb284afbd0d385599bee984b41ca92484cc576f1744c46898fc66fea7e8efde44185922e1322c592c4c23574e4c66863f9a93d94b8a50abb985d00aee39cb55b794e923b0d6ecb9764f254ed8b04a1b9d3c0d7f97af7e3345deecc3e4e4d961a78f0bc37f3332a063063c86c8ac5d01991786c56bb7e035321,0
172.64.41.4,192.168.50.11,443,44258,6,17030301eecdc0aade47b350e442288477df65bcb70ec42a9db67c47436a4e93ec82ad19d7fdfc0033a964be161648473bc0b4ee08bddac277fbd0dfcecd4630067e39ad4a161c514f1e10858556810190e243b68d9173564008b221cdbd31e6e5d61a1953ffff9e78be0023828c24493306aae344795a9f88dbcbfd585020cd,0
192.168.50.11,142.250.68.33,52425,443,17,ed0000000108f10fed9187bc960c0315fcf140161c37af6fa5e6568e8f2ac6122a1d02951702fa91076a,0
23.66.3.69,192.168.50.11,443,54190,6,0ce7ba7695243274db7dcf4b7665f4c69d40a552108fa2998f3dbcd175b74192912f712b4b024177492fc36a24e6a1a87a162ce8bba772bbd39e38cf89d4958131652b3508f55a01cf61d9a2baeeeca9666715bdc194dace2a1a7a712b423454c4cbd5bec782cac1b55e28d56d985e2faa331eda517fa648a10ae7db5731917c,0
173.194.12.135,192.168.50.11,443,54889,17,5736addf13a391ca73150a8dbbfd4d0ef9b45a6479e3e925447b11f072130e408e0460fd2c9dd1ef17e33a3b7a63e1fe81c91310144b4d66fb8bdfe760fd9d5c6aad7b073d1ee1086be46272930f5531f6e0734b57ac0f5e30b62c2bb8920cc313ca9113fe2d1f6fb423fbaead67b161518cd7ff3687e94c52df8f3596f8986c,0
23.55.219.177,192.168.50.11,80,37932,6,,0
192.168.50.11,172.64.149.23,36486,80,6,504f5354202f20485454502f312e310d0a486f73743a206f6373702e7365637469676f2e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e3020285831313b205562756e74753b204c696e7578207838365f36343b2072763a3133342e3029204765636b6f2f32303130303130312046697265666f782f3133,0
172.217.14.110,192.168.50.11,443,49768,6,17030300dfd08d8a509836b4132720a3b1d15251b88635e62a9850bf3b258fa0d6ba7c6d0281b7f4f702685d9e2c58ff461452805952b8d3c0bbc51aa64a3bd3bca6f22a3a92af4deb320cf529bdd33e91ad67df742279aac7a96c430e1440e08def0b85ddd7b40ddd4171e4bdd88ac8a61d794af59f24f92a9d1fdc2f9ca6dd,0
192.168.50.11,172.64.41.4,40972,443,6,170303009a2c606b3e35a6721640b4c042d7dbf6c1ccae8fd18180aa5ad3233f78a8053cf929d5a5474d97ab34f2a828c22c998856dd42a8deb8920e8e9e5df1ec734cfbaa43968ebbad1c95e026fbac816a5b9135c8652aeb07fc8cae78c54f8a4844c2eb23f1edb77737d3aa24daf410ef99bec3ba7978df7c5ac3063fb7c6,0
172.64.41.4,192.168.50.11,443,60274,6,17030300331ecb245473859e4c0266e42da44533ad784c8e6e8077e7fb1da5ee8c3ac9e5995f93ea8d8fe580931334e827d11d0112d3edd7,0
173.194.12.135,192.168.50.11,443,36986,6,6fbd4d68ceae5c48eb5d2c0b13d7dc2114e790f52a8233ea8c815b9154cfcd34e0041c03af153312fedce19c4e3ef50e2e2932f20947e17eb570a74f7af09a3e604a5fd9a238cb1e4a18b7d7dbb52b921dca90615b2b520c2ed58ffdeaad59c086841bb63ed93056fe7ef69f5c5f41abc9570f47672c6168b3e8f1b652d734c9,0
172.64.41.4,192.168.50.11,443,60274,6,1703030062e2a9e154ffa4a64bc58e42683e7ec91519ca4f4e0fba3e75acd031e40e796eb8fa3a83b0ba3f64afdff8002dd225d273882f92cf3a9cc6a6cf26f95e5800137850cb9bff8f4d4e78627c7f42ec56074dbbe4e95bc90067ad8eecf115398043c4332f,0
121.127.42.98,192.168.50.11,443,33748,6,000000000000,0
35.212.192.196,192.168.50.11,443,37962,6,,0
192.168.50.11,121.127.42.98,46002,443,6,,0
192.168.50.11,34.120.208.123,35582,443,6,,0
192.168.50.11,172.64.41.4,44258,443,6,1703030033e5f7a7af5c75945d97fe76d8850781e59a681000a3cf6ed1e5258b5937559aaa51509c0b131b16d18ae4d5e56b1b1753655d5f,0
142.250.68.33,192.168.50.11,443,39190,6,16030304ba020004b60303b84daaf1014ff2b35396f961565231b86910bd27b9a396aaa2ab3ea2ce4436c020a4f3f59758dd3e8ec1be4d4c1f4f48edcd3480360435817647bae6960828143a130100046e0033046411ec0460cde63e40734b6bf5fe6cc80ece5cfe024019a412a51c9887727a7d343a07d74003d075a2a66701,0
172.67.41.60,192.168.50.11,443,50646,6,16030304ba020004b6030321e95a1e1b6c1a05fe525c6282592cd6de652e3041a67c74ebc5668ec497228e208948ad53a24a83c8c16409a3f32ddf261b7665a34a6c400883f4898118e9c14d130100046e0033046411ec04605a2edc395cb449b8020e91ef120fc6a0727bfa7b164b6e4e353e207883ba0e32277aa935c517ac,0
172.64.41.4,192.168.50.11,443,44258,6,170303001e4db87de1f544f4fd3e49ed52055929e99ec5475595e1a3b5fb7c48a9807b,0
173.194.12.135,192.168.50.11,443,54889,17,5236addf395faf7b877c19822d5f06254fc1d43ee4d96666f165ef2868dbdf4f19d39d9cc6893fba3c421283701c2a29ec781f1df100b8cd3cf745f4ab7ab92dae12589bfbb6c2040e257244487bc48871b45f352cca1d2c55a3132e648f59d77986430590b86b2dd44d7d3184314308d1387da955b51a9b5131d2805a24edda,0
216.137.39.97,192.168.50.11,443,43982,6,17030300aef24ea1760b028ad264c0598c1f721c151a27a6b2df6be6de6e7784ed1d965e77ba3c28d9cbf6c91b935199b5eb87f0ca42210185214838898f654e8c39e5f296b994902ea706da80c903f5e6d8ebe0c6f1eace03af6ec55116110fdcb6a967b55de3c227346d984218c027a77b82f69bd9e6525e82fb9cc527c383,0
216.137.39.93,192.168.50.11,443,38082,6,49340e6dbf23eb8d190baae9926a2eb397f94a354d38daae67fb777142fb668e5d54e51ca6ccf95e6d0fd37e76ae4ce8e6cbba7180a495801839820c32e34e3649eb0f5273912e60e6f99a2e387e4d8cbacd87151ca8e29c3249199e8d18b7d15be619910a7e692f12b73ad3b581ceac813eb151105fe3a3d4bf13b940db2e56,0
172.64.41.4,192.168.50.11,443,60274,6,,0
192.168.50.11,3.168.147.12,33362,443,6,,0
192.168.206.232,32.14.94.237,15104,9309,6,3e,1
192.168.50.11,31.13.70.36,45938,443,17,67b221008a14284184afab8bfece25cbd3961e481a0d04efe15a70e55e8c63eb76c4,0
192.168.50.11,142.250.72.168,43802,443,6,170303010dbb0bb6c9f6823f287322674d75a6bc35de22b39978cde164ea11ebf13a3ee09d826c466fdfa5f4a7d1583d9d39c7392c8024a5b68b2e1dee472359e0b09171864c6c849e1fd0eabe2043b3a9b5f13aa101575d559ae7ae3a937d2e9f94e7739ed925d11dbb170ecb0ca7840492390a9fdbf8c60861fdf3de5559d4,0
192.168.50.11,172.64.41.4,44258,443,6,17030300330515f50f012c97356d47819af11b6113e063e912646d6d04a40e77c031f31c2e72ca47551bc7ea821b29a1fa081cab91dbdce1,0
192.168.50.11,173.194.12.135,36986,443,6,,0
192.168.50.11,35.212.212.222,36402,443,6,,0
192.168.50.11,188.40.16.220,57240,443,6,1703030013d6c8f0f519a9bd06e18f306687452be12baf6b,0
172.64.41.4,192.168.50.11,443,44258,6,17030301eede63084a5fa4a4f5419cd4936ebe13905764c1bdd4c0a92a619b9117d72612c6d9c339db169abdc4d3eb2eab23d99f9dbd25684e55d0a0159f5a372e36613d62c8660aaa92c3ab74b7b54da29905a0d56a1462853098e23967d18d29427976d90a4b058ee4b5468ded61195c53740f6b40c3a02615c3a65bf74b5f,0
172.67.69.191,192.168.50.11,443,57130,6,170303056a8e7e51add310fbdf69bad772460f0218722c375f13f6fc6080577c9371e3c6107a357eeb16181b76907f9e3fcd941981c30796c53ac66260704fc1aa47c1750ef8f231174845ef0e2bce5fd7e4aba06af1d5405e83656856fdb89409b5d7ea8a3eac17b4b1f4f70c958c1ff0834d807f6145ed96827eabd2a6d9f3,0
52.9.65.126,192.168.50.11,443,55724,6,,0
192.168.126.81,54.34.21.151,46370,32129,1,6d616c6963696f75735f7061796c6f6164,1
192.124.249.36,192.168.50.11,80,33250,6,485454502f312e3120323030204f4b0d0a446174653a205765642c203134204d617920323032352030343a30373a333520474d540d0a436f6e74656e742d547970653a206170706c69636174696f6e2f6f6373702d726573706f6e73650d0a436f6e74656e742d4c656e6774683a20323130370d0a436f6e6e656374696f6e3a,0
184.29.57.182,192.168.50.11,80,50132,6,,0
34.194.175.122,192.168.50.11,443,44872,6,140303000101160303002873a87c2aaf164032e09b4b35f111ec60c2207466a80b2a47204ebd5e3a52056e2e9c976edee6202f,0
192.168.15.47,195.17.162.73,40537,139,6,7c30307c,1
44.212.89.30,192.168.50.11,443,53598,6,,0
172.64.41.4,192.168.50.11,443,55426,6,,0
192.168.50.11,216.137.39.97,43996,443,6,,0
35.212.192.196,192.168.50.11,443,40778,6,170303001a0ad558c1e17ca4f56e75cde6d3969dc635d2563bb8104b4525ac,0
192.168.50.11,172.64.41.4,44258,443,6,,0
172.66.42.247,192.168.50.11,443,43024,6,1703030085000000000000000b870e727bd61570d75c8ce954c1716ad852f7579682dcf12f540e92116e0e7da2041cbc2cb017d38fb3fb92ffc59749029d91f24973b3c59529679debebce3df6c31b0f62b33085e8a19f1c5c8a6d180eea42ee1971ab6d502400f052cc957e52f6292ea6f613b01c7c3b8a56344c43f0e1a34c,0
35.212.212.222,192.168.50.11,443,49648,6,9d46767fc1ab10690115ded3236d0e054f21ced4c26c8014270e9e2111a9be51b718075b6ac6b3b69b931ef8a38d608a48868ae9e8a587425fa0abf787c5503d83e388e9e46e1e5010cbec2bd4872a6dd9db2c3f73dd3db3f54a8d408f1efaee7873ec8ca4f8aaefe3be346358e8fb95c0c2dee1b416ba1b3a58e0919b4e6174,0
192.168.163.118,194.150.215.31,15141,8000,6,2f6e7374656c656d657472792e616470,1
173.194.12.135,192.168.50.11,443,54889,17,5736addfe01be277beb44d674fe25f5e6d22433e23af3f6c3688c3a1593c3a2c6ead9165a113e9672922e63596322c206ad246182d5f685f80b1389c7c024f3edec884ed3a55970eb01526c1aeaf0116ab981790f7f8187e573118bd49bd2d33507fa0b75653f3850936384c8edd521b9c704e67b7a6c05dd53689414eb94cf8,0
131.153.13.100,192.168.50.11,443,47292,6,098eb629d20fb1580a20e48b328c0dc3d29537b510b2ef8480f8f6cd2246c93d63e6da9cccfe779f25418e858757c77bdd005f9e2c3f972cffa9b91210e804f3e5d8eca71149e47de455b0ffeb9ab0aba5ccfec005010d7dd7368b306a55bf625f4e81b5ca1d44d721f83767efc2b6b6e484820cd8f08b33195330c0cbb07b92,0
192.168.233.116,6.163.17.151,50003,23898,17,7c30357c,1
172.64.41.4,192.168.50.11,443,55502,6,be5ac1060231f038e00d6c7382aa62399e5d1512f78e20da845809e269cd830b5a1cd343009f01ddc54021d040e22aa63956e9deb8b1b54bbccb1c82dcf80f6edff2fbc25930976a5da9b57863e4a47ae1a0585ff80663669d0201f0be1df1400f53a71c85274188fd6c3e579024be62b6bdd7117e1c069d98a4d01837cdfd8b,0
35.170.209.154,192.168.50.11,443,33706,6,,0
192.168.50.11,103.231.98.106,59308,443,6,1703030068c68e451aaa48035260cb0b9da573a2f1353d6454277a2a646ea79df7ba0581052853f6a97633c05c076e18503650ca5dc3c872f2e3c9e1429819ed6179f707e406b9475a762b52e97dafd127715df970ac2958345e9eef02c1c7d023d4b451e0e23472ba02a4ca3a,0
192.168.50.11,31.13.70.36,55260,443,6,,0
192.168.50.11,104.254.150.241,41306,443,6,170303005e00000000000000015a1af646bc1ce2f078d35105aad33879a71dffe6b9739dcfc4daee093af9a415646b89153e9b64164a82b8f03e103492c26cd61216cba6f9ae2cfc727f3d58db0ab16e8f091a424be26056e58e340e012d9fcf6c9549,0
192.168.50.11,54.87.100.184,48180,443,6,,0
192.168.50.11,172.64.41.4,44258,443,6,170303009a81e3ee0a0b809016ae640927226f34dd78209dd681157f41a8a9309df9a5f0db626d415190c5bb87fd2d9ce04fcee2a87d4e274dd00e9bac88d2f0efb1ee02657e9dc21b49f47df26f9845c9ea887a90b5f92476ac5f33dad3feacc4aa444925dd5f2e2a092de6bea1bf091fe118b518de9558012de7d9ec5cf8d0,0
192.168.50.11,23.55.219.177,37942,80,6,,0
173.194.12.135,192.168.50.11,443,36986,6,17030303caeac8927efb2ac9f52cd210bd7c9f3fbde827ceb053508067642a9c6a99f61817027da2dfab99111dd255d37dc610aab00f403053b9b04938673a74faa9fbad4ba9a20d861adf244e425cc2e9a424b238a9d128bd41374cf689d46e70012e7cd10451052cb0488f5a332be45f78984220b97d3e4f16808579ac7220,0
192.168.50.11,20.49.104.19,37474,443,6,,0
192.168.50.11,35.201.101.243,51206,443,6,,0
13.226.223.188,192.168.50.11,80,50698,6,,0
44.238.211.198,192.168.50.11,443,58030,6,,0
