protocol,src_ip,dst_ip,src_port,dst_port,label
tcp,125.60.71.179,10.39.72.159,41069,69,malicious
tcp,89.248.167.131,172.21.64.150,46757,49935,malicious
tcp,192.168.211.54,192.168.44.83,28066,443,normal
tcp,172.29.243.56,10.177.47.176,50017,68,normal
tcp,172.17.103.20,172.24.2.111,41008,993,normal
icmp,43.70.110.189,172.24.213.117,0,0,normal
udp,172.27.165.232,67.140.106.46,39000,5000,normal
tcp,192.168.35.151,192.168.109.59,47352,137,malicious
icmp,131.240.56.204,192.168.126.107,0,0,normal
udp,192.168.183.46,172.23.157.236,25085,69,malicious
udp,251.98.2.34,10.242.81.105,19309,63835,normal
tcp,10.178.119.174,10.183.107.40,50078,80,normal
icmp,192.168.44.124,255.255.171.186,0,0,normal
udp,192.168.86.136,192.168.175.237,23656,12977,normal
icmp,10.223.30.71,114.183.12.181,0,0,normal
tcp,150.140.226.17,192.168.81.205,43228,993,normal
icmp,172.18.18.104,192.168.248.179,0,0,normal
tcp,10.6.199.222,180.124.184.131,54261,8888,normal
icmp,10.95.60.68,254.37.226.199,0,0,normal
icmp,172.20.28.109,192.168.81.29,0,0,normal
udp,10.69.110.21,172.21.30.48,52680,5001,normal
tcp,83.218.43.17,172.19.233.222,9193,68,normal
udp,10.60.121.114,120.12.31.179,55219,5000,normal
udp,13.53.167.22,185.32.126.170,25734,80,normal
tcp,192.168.23.34,10.208.230.184,53039,5001,normal
icmp,10.157.223.77,217.113.214.12,0,0,normal
tcp,192.168.203.28,26.78.33.230,16412,21,malicious
udp,192.168.116.155,10.145.113.18,47073,38534,normal
tcp,172.22.26.95,192.168.225.64,52303,8080,malicious
udp,172.25.102.112,138.79.98.32,48558,8000,normal
udp,10.210.120.106,172.27.5.126,39535,8000,normal
tcp,172.21.190.97,28.6.165.192,53888,1900,malicious
udp,172.22.128.221,172.26.247.23,51642,25,normal
icmp,192.168.13.129,78.184.15.55,0,0,normal
icmp,192.168.222.248,81.105.235.86,0,0,malicious
udp,172.21.53.186,85.164.225.238,56143,443,normal
udp,192.168.194.9,132.159.157.215,57437,993,normal
udp,172.17.150.61,150.45.62.130,59399,41381,normal
tcp,45.83.64.1,10.61.118.93,57706,21081,malicious
tcp,172.22.15.11,172.28.5.108,61463,587,normal
icmp,95.214.122.79,218.126.111.211,0,0,normal
tcp,192.168.132.47,10.137.159.75,25793,443,normal
udp,192.96.73.71,192.168.216.95,29321,443,normal
tcp,192.168.8.234,147.239.124.44,55886,68,normal
icmp,10.29.159.242,172.19.251.150,0,0,malicious
udp,205.20.19.58,62.35.49.45,32987,9000,normal
udp,45.83.64.1,10.187.123.166,8843,36274,malicious
udp,172.19.91.33,172.28.59.142,14568,9001,normal
icmp,10.18.176.157,192.168.42.189,0,0,normal
udp,10.210.34.121,22.67.88.90,45810,993,normal
icmp,76.167.14.52,10.58.112.68,0,0,normal
tcp,10.54.43.45,10.165.117.29,51378,67,normal
tcp,132.134.60.109,10.30.141.76,56936,80,normal
tcp,10.238.174.3,192.168.203.189,1623,8000,normal
udp,172.22.162.212,29.36.72.69,64666,1433,malicious
udp,103.27.202.112,192.168.36.131,53327,38885,malicious
icmp,172.18.235.136,130.216.38.85,0,0,normal
icmp,172.30.101.42,159.128.207.21,0,0,normal
tcp,185.220.101.4,10.47.199.18,21442,62695,malicious
tcp,11.130.229.15,195.77.138.105,31430,67,normal
icmp,10.220.28.225,172.18.167.189,0,0,normal
udp,192.168.250.9,10.112.90.40,25244,80,normal
tcp,172.19.155.249,10.14.196.111,23612,64520,normal
icmp,192.168.251.107,247.191.80.222,0,0,normal
tcp,216.137.134.121,10.198.232.63,62367,53,normal
udp,192.168.49.229,192.168.23.112,4808,443,normal
tcp,116.88.17.191,192.168.86.228,64745,5001,normal
icmp,172.24.243.11,192.168.221.228,0,0,normal
udp,92.148.38.109,10.62.1.85,12689,1900,malicious
udp,103.27.202.112,192.168.93.39,39158,64151,malicious
udp,145.126.238.126,192.168.46.38,23997,8888,normal
udp,192.168.244.139,6.234.1.251,8111,4097,normal
udp,172.20.82.33,172.20.215.34,33314,9000,normal
tcp,10.23.216.29,10.231.74.20,3734,22,malicious
tcp,61.20.116.139,172.22.71.186,15265,587,normal
udp,192.168.181.213,10.103.187.244,12565,143,normal
udp,192.168.173.143,172.30.128.214,30317,7738,normal
icmp,10.248.65.66,129.93.17.163,0,0,normal
udp,142.74.186.220,3.121.158.108,57538,993,normal
icmp,192.168.149.211,10.146.73.20,0,0,normal
udp,172.23.182.249,10.70.235.252,32435,9001,normal
udp,192.168.186.56,172.18.13.101,26354,80,normal
icmp,172.27.10.145,169.104.33.32,0,0,normal
tcp,205.96.92.19,172.23.126.192,3182,53,normal
tcp,166.20.26.161,10.206.51.165,47107,8000,normal
tcp,126.22.178.108,192.168.213.28,58268,19,malicious
tcp,92.10.11.168,235.209.118.3,32759,137,malicious
icmp,172.28.174.33,10.67.13.230,0,0,normal
icmp,192.168.208.202,228.83.200.103,0,0,normal
udp,192.168.189.218,192.168.83.124,12178,137,malicious
tcp,139.154.236.10,172.22.33.226,31602,67,normal
tcp,172.20.167.15,201.234.190.237,9174,587,normal
icmp,10.239.20.65,192.168.24.95,0,0,malicious
icmp,192.168.212.208,10.213.183.206,0,0,normal
tcp,94.0.157.110,174.248.45.119,56351,30744,normal
udp,92.88.197.10,10.62.9.75,42698,33006,normal
icmp,128.224.244.35,172.23.19.144,0,0,normal
tcp,172.21.212.46,192.69.232.212,25248,53,normal
tcp,10.26.241.19,111.33.78.201,57149,55124,normal
tcp,10.169.34.194,138.174.168.190,32889,68,normal
udp,165.129.203.232,10.163.250.74,57651,5001,normal
udp,172.18.34.172,192.168.225.58,42339,67,normal
tcp,137.99.255.101,10.132.37.16,9495,52013,normal
udp,65.216.221.28,10.131.92.106,23934,47542,normal
tcp,214.4.139.52,10.166.44.62,52003,123,malicious
udp,10.238.203.229,10.169.39.239,53571,29558,normal
udp,10.117.165.115,192.168.134.199,36612,60929,normal
udp,33.76.96.55,10.222.149.224,49608,9001,normal
udp,10.251.188.137,10.225.241.37,24676,25,normal
udp,192.168.72.106,192.168.26.7,28441,9000,normal
tcp,192.168.241.231,192.168.99.249,34672,8195,normal
tcp,192.168.103.80,149.11.161.141,47071,17519,normal
udp,192.168.35.119,192.168.76.66,62750,443,normal
tcp,172.19.143.46,239.158.74.219,46235,9000,normal
tcp,10.224.197.113,172.30.242.44,22695,55183,normal
tcp,43.89.245.85,63.78.34.101,49263,5001,normal
tcp,192.168.108.192,218.33.180.190,11917,8080,malicious
udp,192.168.61.103,172.20.156.95,10425,5001,normal
udp,31.7.84.217,192.168.232.149,24633,443,normal
udp,172.17.64.95,10.169.16.116,2083,18249,normal
udp,172.25.251.108,172.20.169.96,6693,8888,normal
udp,10.154.134.185,192.168.147.183,24834,80,normal
icmp,10.191.1.248,10.78.30.159,0,0,normal
icmp,150.240.140.2,192.168.221.151,0,0,normal
icmp,172.23.99.182,172.17.66.167,0,0,normal
tcp,185.220.101.4,192.66.154.109,14240,39340,malicious
icmp,224.13.93.187,192.168.162.53,0,0,normal
udp,64.134.81.207,54.232.77.192,36135,25,normal
udp,249.44.174.61,10.124.42.200,14831,9001,normal
tcp,67.100.24.5,192.168.73.202,42661,5000,normal
icmp,10.32.254.39,172.20.71.59,0,0,normal
tcp,31.29.204.201,172.21.1.131,13972,48034,normal
udp,10.111.249.244,192.168.106.179,64433,4272,normal
tcp,211.24.231.152,192.168.91.14,38136,0,malicious
tcp,10.23.37.65,192.168.230.204,17092,1900,malicious
tcp,192.168.239.13,10.16.202.102,52770,443,normal
tcp,192.168.42.67,192.168.242.228,37645,9000,normal
icmp,226.132.194.134,192.168.81.149,0,0,normal
udp,192.168.187.65,172.17.148.39,62215,587,normal
tcp,187.31.26.48,10.4.253.74,33875,69,malicious
udp,10.134.72.126,172.27.184.144,43978,593,malicious
udp,148.15.174.9,204.227.23.209,19804,68,normal
tcp,10.152.118.168,234.76.117.126,34109,587,normal
tcp,16.3.176.12,172.30.43.18,12977,18295,normal
tcp,192.168.137.87,172.23.186.158,8235,8000,normal
udp,192.168.178.81,10.121.37.221,57755,8888,normal
icmp,114.231.200.144,172.25.219.251,0,0,normal
tcp,192.168.39.246,10.127.89.97,41666,23,malicious
tcp,192.168.83.5,172.16.1.26,46316,25,normal
tcp,165.130.88.243,192.168.154.167,45092,161,malicious
tcp,192.168.221.56,226.254.55.222,47995,8569,normal
icmp,187.116.216.238,10.2.97.179,0,0,normal
tcp,10.112.3.162,159.88.48.187,12206,8888,normal
tcp,173.239.166.195,53.102.205.17,24810,9001,normal
udp,10.194.166.238,174.56.106.62,26939,8000,normal
icmp,247.59.103.198,192.168.133.246,0,0,malicious
tcp,172.28.41.21,69.67.107.55,52134,443,normal
icmp,204.230.66.146,10.96.228.137,0,0,normal
icmp,10.133.235.201,10.130.127.214,0,0,normal
tcp,9.198.200.227,158.206.121.31,15784,9001,normal
udp,172.16.251.221,172.20.2.213,23087,1900,malicious
tcp,10.35.238.25,10.110.246.26,36422,445,malicious
tcp,92.127.159.22,192.168.45.20,15355,8888,normal
tcp,234.18.117.84,172.27.177.191,3924,8888,normal
udp,192.168.210.53,192.168.255.140,3774,8443,malicious
tcp,192.168.208.150,192.168.197.177,30231,8443,malicious
tcp,10.136.230.155,192.168.67.134,21925,123,malicious
tcp,10.246.37.39,10.139.192.26,42796,31452,normal
tcp,192.168.251.44,192.168.39.158,7129,143,normal
icmp,10.130.131.85,133.178.131.19,0,0,normal
udp,10.146.136.163,172.19.67.143,45994,993,normal
tcp,110.195.180.168,11.171.25.231,24096,49822,normal
tcp,172.17.150.14,172.24.118.63,29894,8000,normal
tcp,172.20.242.181,192.168.118.219,42636,32098,normal
icmp,192.168.64.127,192.168.77.73,0,0,normal
tcp,218.18.246.195,192.168.71.192,4086,8888,normal
icmp,151.103.110.151,179.13.148.2,0,0,malicious
icmp,172.23.239.57,192.168.187.141,0,0,normal
icmp,172.17.192.127,10.75.194.5,0,0,normal
tcp,172.23.91.158,172.18.100.201,6450,5800,normal
tcp,89.248.167.131,146.6.87.229,59254,34040,malicious
tcp,172.28.109.153,53.61.40.43,19530,30171,normal
icmp,172.18.253.232,172.17.59.130,0,0,normal
tcp,192.168.151.254,192.168.128.45,17562,80,normal
udp,185.220.101.4,172.16.62.149,8271,26953,malicious
icmp,192.168.229.191,13.230.190.62,0,0,normal
icmp,192.168.189.140,192.168.5.28,0,0,normal
icmp,223.202.217.33,25.8.194.3,0,0,normal
tcp,192.168.215.73,10.238.247.198,61430,587,normal
tcp,192.168.16.236,172.16.14.58,61545,9001,normal
tcp,181.178.183.199,172.31.31.36,43623,587,normal
udp,18.39.254.155,192.168.251.106,16736,123,malicious
icmp,166.172.210.3,10.103.35.71,0,0,normal
udp,10.73.112.51,10.154.189.184,55299,587,normal
tcp,172.22.107.168,158.93.51.166,61371,143,normal
icmp,192.168.112.16,192.168.215.205,0,0,normal
tcp,43.123.67.134,192.168.90.45,5413,143,normal
icmp,10.3.5.165,255.125.218.77,0,0,normal
icmp,137.250.125.64,172.21.181.231,0,0,normal
icmp,172.28.223.234,192.168.200.159,0,0,normal
udp,246.158.161.143,10.137.192.51,43210,0,malicious
icmp,10.65.165.3,10.118.114.70,0,0,normal
tcp,10.73.186.175,196.181.194.106,60334,8888,normal
icmp,172.18.209.242,172.30.188.101,0,0,normal
icmp,172.17.231.53,54.233.12.123,0,0,malicious
tcp,192.168.14.250,10.15.119.56,59973,5001,normal
icmp,192.168.26.209,43.210.174.129,0,0,normal
icmp,172.28.251.18,10.187.50.187,0,0,normal
udp,192.168.39.74,95.14.0.200,13014,5000,normal
icmp,192.168.117.97,83.18.9.75,0,0,normal
udp,10.123.166.82,192.168.183.149,12022,5001,normal
udp,192.168.125.28,172.16.38.188,3975,7196,normal
tcp,172.16.190.224,172.29.110.26,696,0,malicious
tcp,172.17.121.55,241.29.10.32,59982,49831,normal
tcp,10.228.28.101,10.144.0.166,64791,60180,normal
icmp,172.30.153.25,110.27.75.114,0,0,normal
icmp,172.19.206.50,192.168.7.200,0,0,normal
tcp,192.168.161.3,172.23.93.222,32101,80,normal
icmp,172.26.218.128,172.20.145.248,0,0,normal
icmp,108.61.209.253,192.168.164.145,0,0,normal
tcp,192.168.140.3,172.17.153.160,1927,22263,normal
tcp,192.168.35.228,10.40.124.132,24365,68,normal
tcp,10.13.31.88,172.24.197.38,22667,137,malicious
tcp,10.25.181.223,119.10.28.62,49166,587,normal
udp,172.17.69.225,160.44.51.190,60152,443,normal
icmp,96.95.123.73,172.19.238.104,0,0,normal
tcp,192.168.2.248,172.21.217.167,55173,123,malicious
icmp,144.73.21.99,190.215.51.40,0,0,normal
udp,71.72.109.154,172.30.237.237,40636,80,normal
tcp,192.168.5.110,10.31.213.91,60020,20146,normal
tcp,10.96.97.135,10.142.9.214,63036,10638,normal
tcp,192.168.71.208,192.168.208.191,58274,67,normal
icmp,10.175.54.244,10.33.177.238,0,0,normal
udp,172.28.153.28,172.16.10.18,62592,8888,normal
udp,10.41.189.3,172.25.148.61,47264,9001,normal
udp,172.29.189.150,176.2.68.101,27936,8000,normal
udp,192.168.174.182,192.168.19.206,62357,8080,malicious
udp,28.70.206.28,192.168.80.43,62803,25,normal
tcp,193.42.42.228,192.168.234.165,1153,5000,normal
udp,172.21.239.16,10.243.7.132,5259,16229,normal
udp,192.168.176.183,10.64.12.228,44699,67,normal
tcp,10.107.83.111,192.168.94.11,48230,25146,normal
udp,30.13.232.149,172.31.246.64,31043,44099,normal
tcp,10.252.150.111,172.21.72.219,25806,53,normal
icmp,10.8.238.225,10.222.124.144,0,0,normal
udp,192.168.154.93,7.43.63.93,45187,80,normal
udp,172.29.99.225,57.236.249.118,49260,1900,malicious
icmp,10.215.149.61,192.168.45.13,0,0,normal
udp,216.237.3.179,192.168.99.137,41314,143,normal
icmp,172.31.60.142,10.251.198.110,0,0,normal
udp,41.59.115.82,172.30.245.15,33156,9001,normal
tcp,192.168.86.187,10.4.67.12,26167,67,normal
udp,10.119.237.146,172.26.222.247,2800,5000,normal
udp,10.198.130.165,192.168.234.59,44083,67,normal
udp,172.22.159.17,10.166.196.57,38098,8888,normal
tcp,192.168.224.182,182.162.178.129,20035,68,normal
udp,10.184.12.198,10.190.95.50,7392,9000,normal
tcp,10.220.157.142,176.63.183.248,24658,80,normal
udp,185.220.101.4,172.28.29.246,42496,48168,malicious
tcp,55.168.137.187,172.25.81.189,26361,53,normal
udp,147.150.228.189,10.58.221.209,10062,68,normal
icmp,88.105.186.208,172.23.16.72,0,0,normal
icmp,10.40.218.98,143.243.166.51,0,0,normal
tcp,192.168.62.84,109.20.49.56,41721,67,normal
tcp,10.2.53.137,172.22.109.47,9048,123,malicious
tcp,10.76.250.78,192.168.58.32,50600,68,normal
tcp,192.168.220.90,0.28.116.75,58734,21,malicious
udp,172.25.78.218,192.168.115.214,7673,143,normal
udp,192.168.170.26,141.34.42.223,53150,8888,normal
udp,148.94.103.20,104.198.18.106,34722,53821,normal
icmp,172.23.136.5,208.65.45.135,0,0,normal
tcp,110.253.149.225,174.187.84.114,30454,11141,normal
icmp,10.20.173.235,172.24.186.206,0,0,normal
icmp,94.144.155.66,151.12.177.114,0,0,normal
tcp,10.194.169.52,10.101.112.253,9537,8888,normal
udp,65.0.96.30,192.168.230.222,11036,28425,normal
udp,177.252.233.81,10.163.8.194,60032,143,normal
udp,10.21.126.224,10.230.94.105,21029,9001,normal
icmp,207.234.90.40,89.85.243.156,0,0,normal
udp,61.180.29.140,17.88.65.70,64626,993,normal
icmp,28.16.39.187,10.72.213.236,0,0,malicious
udp,124.10.30.117,192.168.21.146,13313,593,malicious
tcp,185.107.56.215,172.28.134.190,45332,57324,malicious
tcp,93.93.239.161,192.168.181.0,16789,587,normal
tcp,192.168.34.16,10.97.172.204,51988,8080,malicious
icmp,172.27.126.173,191.72.107.16,0,0,malicious
udp,10.243.156.123,172.30.106.236,34859,41780,normal
udp,1.216.22.48,192.168.26.135,15242,5001,normal
icmp,172.31.15.240,2.142.101.78,0,0,normal
icmp,85.128.225.62,172.27.90.39,0,0,normal
udp,28.72.177.190,10.247.203.90,30605,161,malicious
udp,172.31.179.67,192.168.148.132,43564,68,normal
icmp,192.168.137.109,10.79.128.228,0,0,normal
udp,192.168.213.9,10.72.146.32,56039,48614,normal
icmp,60.56.123.245,10.238.254.85,0,0,normal
icmp,92.219.125.216,192.168.244.20,0,0,normal
udp,10.24.125.34,119.193.81.184,52477,8888,normal
tcp,192.168.112.93,10.138.70.113,36859,53,normal
tcp,10.178.73.37,109.86.139.68,12672,20170,normal
tcp,192.168.46.253,192.168.73.136,4928,143,normal
icmp,103.27.202.112,192.168.89.86,0,0,malicious
icmp,192.168.105.242,172.18.248.248,0,0,normal
tcp,192.168.186.99,192.168.164.13,12049,8000,normal
icmp,246.155.187.150,10.90.154.232,0,0,normal
tcp,10.123.110.209,192.168.212.103,13264,993,normal
tcp,172.23.49.241,172.19.250.115,47955,8080,malicious
tcp,10.105.166.47,237.201.164.104,46990,5598,normal
icmp,172.27.183.203,115.201.133.8,0,0,normal
udp,221.138.254.241,235.153.89.86,38655,443,normal
tcp,10.151.168.210,192.168.172.23,6080,67,normal
icmp,10.219.15.29,172.20.36.101,0,0,normal
icmp,248.191.38.57,192.168.109.62,0,0,normal
icmp,192.168.158.199,141.225.8.18,0,0,normal
udp,220.132.205.201,10.218.147.230,41276,25544,normal
tcp,192.168.26.147,192.168.47.104,27099,135,malicious
icmp,101.61.49.136,10.221.138.86,0,0,normal
udp,192.168.16.132,172.19.195.81,41946,8888,normal
tcp,89.248.167.131,192.168.43.155,13009,34920,malicious
icmp,172.29.137.1,192.168.51.172,0,0,normal
udp,192.168.105.93,192.168.239.18,33637,67,normal
icmp,240.37.29.107,172.23.22.75,0,0,normal
tcp,192.168.252.94,117.98.180.59,29556,43717,normal
tcp,172.20.80.147,192.168.174.195,16669,22931,normal
udp,100.65.81.29,184.82.234.63,2470,55539,normal
tcp,172.20.88.47,192.168.176.56,7953,8888,normal
udp,192.168.44.250,161.239.94.39,45374,993,normal
icmp,10.45.93.109,10.238.67.58,0,0,normal
tcp,198.50.45.119,10.64.134.168,27145,20247,normal
icmp,10.203.95.112,192.168.81.104,0,0,normal
icmp,192.168.85.29,192.168.139.60,0,0,normal
udp,172.27.61.58,159.182.158.219,45440,143,normal
tcp,38.145.24.37,10.240.75.60,26326,1900,malicious
udp,192.168.105.53,8.172.114.52,57676,5001,normal
udp,198.144.121.93,192.168.24.100,52404,26143,malicious
tcp,172.23.233.233,10.250.26.168,7547,993,normal
udp,112.96.193.243,10.232.39.223,52236,587,normal
udp,1.92.42.150,239.192.171.75,8591,587,normal
icmp,172.21.61.12,5.233.79.73,0,0,normal
icmp,1.67.18.159,172.130.131.30,0,0,normal
icmp,172.31.233.15,164.15.162.82,0,0,normal
tcp,172.22.113.114,202.92.195.187,18275,5001,normal
icmp,10.229.141.114,172.31.116.149,0,0,normal
tcp,192.168.135.75,220.105.204.28,21609,53,normal
tcp,10.82.186.11,10.57.147.51,13336,16052,normal
icmp,159.242.2.92,192.168.167.130,0,0,normal
tcp,172.20.3.203,35.6.247.222,53347,8000,normal
icmp,172.24.130.250,110.164.148.198,0,0,normal
icmp,192.168.36.75,10.62.11.172,0,0,normal
udp,224.204.143.43,10.250.228.108,133,53,normal
udp,172.23.71.249,173.63.205.13,8177,61101,normal
udp,167.178.133.255,10.121.160.253,48132,443,normal
icmp,10.236.94.52,10.48.74.218,0,0,normal
icmp,192.168.35.105,10.176.159.210,0,0,normal
tcp,47.200.41.131,231.138.128.68,42237,5001,normal
udp,172.29.59.73,192.168.187.21,10116,8000,normal
icmp,172.17.228.87,10.29.167.27,0,0,normal
udp,192.168.92.211,172.21.61.113,14094,587,normal
icmp,172.29.145.45,255.10.142.124,0,0,normal
udp,172.25.128.131,10.27.166.241,53068,9000,normal
icmp,172.28.190.139,23.222.218.147,0,0,normal
udp,172.29.203.242,172.29.198.47,14159,9000,normal
icmp,43.39.235.181,192.168.12.177,0,0,normal
udp,86.39.44.192,10.80.120.59,50676,80,normal
tcp,172.23.176.6,10.34.207.179,6273,8888,normal
tcp,222.186.30.11,172.25.71.92,63359,24629,malicious
tcp,192.168.226.153,10.222.183.59,30174,9000,normal
udp,192.168.40.249,193.255.210.171,12805,5000,normal
udp,172.30.169.8,56.241.115.215,27335,5001,normal
tcp,181.1.114.85,192.168.153.203,53043,587,normal
tcp,192.168.205.13,192.168.16.69,3896,5001,normal
tcp,234.140.221.30,10.118.162.221,48631,53,normal
udp,10.232.170.49,192.168.42.75,45196,68,normal
udp,172.24.143.13,10.135.68.170,61094,4019,normal
tcp,243.161.154.41,10.78.0.144,25134,1433,malicious
udp,10.21.193.85,209.61.157.107,54282,993,normal
icmp,192.168.130.13,10.125.161.28,0,0,normal
udp,192.168.126.110,133.31.22.44,57369,44419,normal
tcp,103.27.202.112,59.163.93.176,40618,13093,malicious
icmp,192.168.3.145,8.243.120.183,0,0,normal
tcp,10.144.246.133,10.238.231.179,41125,52894,normal
icmp,192.168.210.252,166.97.88.118,0,0,normal
tcp,10.165.98.119,172.27.127.241,26200,80,normal
icmp,172.19.8.223,50.61.214.146,0,0,normal
udp,192.168.249.149,172.26.86.121,40764,53,normal
udp,47.31.73.99,172.18.49.52,21465,47920,normal
icmp,192.168.214.132,10.34.188.198,0,0,normal
tcp,10.165.115.184,142.61.193.141,21657,993,normal
icmp,192.168.134.250,192.168.241.196,0,0,normal
udp,10.132.162.137,192.168.33.81,58465,68,normal
tcp,172.29.34.138,172.24.247.82,29897,161,malicious
icmp,192.168.162.215,172.29.225.65,0,0,normal
udp,10.74.148.68,251.4.67.80,38137,443,normal
udp,250.49.72.255,10.118.3.180,56505,8888,normal
udp,10.16.246.189,192.168.178.236,6015,5001,normal
tcp,172.28.247.236,207.251.96.122,40225,38389,normal
icmp,172.30.208.246,172.16.141.214,0,0,malicious
icmp,125.224.231.17,192.168.33.195,0,0,normal
tcp,172.29.200.105,192.168.54.13,32216,80,normal
tcp,172.26.126.237,172.26.114.14,31038,25,normal
icmp,172.30.105.16,192.168.97.239,0,0,normal
udp,192.168.81.246,172.29.130.5,62568,40236,normal
tcp,176.120.99.236,192.168.196.101,65528,135,malicious
udp,172.18.231.15,172.18.146.222,41200,1433,malicious
icmp,87.249.10.169,10.218.109.164,0,0,normal
tcp,172.30.11.100,100.159.228.28,4292,53,normal
udp,172.20.48.183,192.168.234.237,18670,5001,normal
udp,172.19.93.148,192.168.206.128,20307,68,normal
tcp,192.168.223.14,192.168.198.76,60244,80,normal
tcp,228.43.128.211,10.16.224.7,17375,16669,normal
udp,91.130.23.24,17.213.117.81,42605,137,malicious
icmp,94.253.93.216,183.228.219.203,0,0,normal
udp,172.23.138.166,172.23.23.40,62281,8080,malicious
icmp,172.27.1.184,192.168.2.34,0,0,normal
icmp,172.17.113.251,19.190.2.246,0,0,normal
udp,192.168.112.213,10.8.161.122,42716,67,normal
udp,192.168.175.253,172.28.123.68,10824,8000,normal
icmp,10.2.190.144,97.8.251.48,0,0,normal
udp,71.132.8.152,192.168.117.48,26997,53,normal
tcp,192.168.107.230,192.168.100.107,59248,993,normal
udp,192.168.38.78,10.166.148.209,15367,8000,normal
icmp,192.168.135.141,10.36.56.9,0,0,normal
icmp,10.12.81.94,40.13.77.111,0,0,normal
tcp,172.20.122.53,192.168.216.158,4280,35662,normal
icmp,10.174.85.2,192.168.249.212,0,0,normal
icmp,3.160.136.98,24.51.22.96,0,0,normal
udp,42.161.45.10,10.59.3.30,37058,58356,normal
tcp,172.24.11.75,241.73.213.133,57988,443,normal
udp,172.31.240.166,192.168.174.77,7204,9000,normal
icmp,172.20.101.39,192.168.125.157,0,0,normal
udp,10.53.109.231,192.168.94.242,52143,32514,normal
udp,172.18.142.30,208.108.75.122,39053,59226,normal
tcp,192.168.88.27,10.197.254.145,60613,9001,normal
udp,172.29.120.11,166.123.2.204,3853,8888,normal
udp,45.83.64.1,253.175.84.19,40229,34159,malicious
icmp,10.241.123.209,10.0.254.243,0,0,normal
tcp,192.168.8.102,10.157.175.199,38803,587,normal
icmp,9.95.119.167,192.168.200.166,0,0,normal
tcp,89.248.167.131,172.17.235.78,20258,33291,malicious
tcp,210.26.180.72,10.201.28.49,8013,143,normal
udp,192.168.140.84,144.116.186.93,12626,587,normal
tcp,198.144.121.93,172.23.27.171,64606,49257,malicious
udp,185.220.101.4,170.212.110.239,30023,63405,malicious
icmp,10.70.93.116,10.243.65.29,0,0,normal
icmp,172.20.78.41,10.79.176.80,0,0,normal
udp,172.29.234.139,10.22.157.111,33344,8888,normal
tcp,10.31.88.177,192.168.42.78,50951,9174,normal
tcp,192.168.17.199,172.17.239.147,4432,993,normal
icmp,192.168.74.55,10.254.147.246,0,0,normal
tcp,44.75.162.152,192.168.112.157,53876,19,malicious
tcp,10.29.90.3,172.28.77.123,26129,135,malicious
udp,192.168.119.111,196.53.152.15,3811,143,normal
tcp,89.248.167.131,172.17.45.44,63047,41879,malicious
tcp,172.19.84.142,226.86.197.98,55300,1900,malicious
udp,172.24.73.195,189.40.208.203,59483,5000,normal
icmp,10.154.28.57,52.8.41.133,0,0,normal
icmp,172.31.87.249,192.168.101.104,0,0,malicious
udp,120.110.116.100,172.31.156.66,26750,57987,normal
udp,192.168.26.200,151.23.106.240,21052,8000,normal
tcp,10.160.27.165,172.21.28.101,37611,135,malicious
tcp,71.124.57.51,172.16.244.151,58544,25,normal
tcp,192.168.122.196,172.31.122.177,25803,67,normal
udp,172.18.26.220,10.134.21.250,34704,38217,normal
icmp,192.168.203.183,192.168.21.247,0,0,normal
udp,172.19.169.46,192.168.150.81,14535,0,malicious
tcp,189.227.100.180,182.163.139.8,34797,8080,malicious
tcp,172.24.156.7,172.29.193.55,37214,443,normal
icmp,192.168.16.168,172.27.16.177,0,0,malicious
tcp,192.168.152.170,10.47.228.34,40321,5000,normal
icmp,151.66.21.19,172.18.229.165,0,0,normal
tcp,10.137.28.222,10.82.106.116,62746,27513,normal
tcp,192.168.209.149,172.26.218.93,37092,4810,normal
udp,215.128.213.21,192.168.49.106,37739,15964,normal
icmp,227.103.65.223,19.245.167.236,0,0,normal
tcp,10.171.22.131,192.168.225.98,30309,33270,normal
icmp,172.25.57.174,65.91.110.96,0,0,normal
icmp,243.66.223.44,172.25.165.6,0,0,normal
icmp,67.110.205.158,205.163.71.85,0,0,malicious
udp,10.222.145.244,172.18.85.46,31850,80,normal
tcp,172.20.207.143,10.249.147.34,57434,22219,normal
tcp,10.72.160.168,10.61.205.73,62578,25,normal
tcp,192.168.10.178,4.162.55.59,6117,68,normal
udp,10.113.187.121,192.168.227.102,41451,44040,normal
tcp,234.202.45.147,192.168.73.247,25989,8888,normal
tcp,192.168.118.51,10.172.123.163,17726,67,normal
udp,192.168.224.65,172.28.112.235,63186,593,malicious
udp,172.30.209.216,230.63.216.39,57978,34812,normal
tcp,172.30.223.184,192.168.66.79,18377,68,normal
udp,185.220.101.4,25.32.170.222,54886,41399,malicious
udp,192.168.164.146,192.168.35.104,6880,587,normal
icmp,192.168.69.3,192.168.16.248,0,0,malicious
tcp,172.24.112.186,172.23.33.201,17010,8888,normal
udp,192.168.156.55,172.28.61.144,15446,8000,normal
tcp,192.168.93.125,10.184.52.51,38409,9001,normal
tcp,172.16.20.216,192.168.29.78,39266,29241,normal
icmp,195.77.254.122,10.153.37.33,0,0,normal
udp,192.168.129.211,16.248.70.31,49386,143,normal
icmp,192.168.187.151,10.56.60.154,0,0,normal
tcp,142.148.115.209,10.206.187.232,34573,54488,normal
udp,10.89.70.230,108.116.168.156,10119,80,normal
icmp,172.22.124.93,172.17.189.246,0,0,normal
